_id,person_id,company,coll_name,year_film,year_ceremony,ceremony,category,name,film,winner,movie_id
5f8ed8bfdc50381ff7678a30,382,false,oscar,1986,1987,59,ACTOR IN A LEADING ROLE,bob hoskins,"[""mona"",""lisa""]",false,10002
5f8ed8bfdc50381ff7678c6b,61952,false,oscar,2003,2004,76,ANIMATED FEATURE FILM,aaron blaise,"[""brother"",""bear""]",false,10009
5f8ed8bfdc50381ff7678ccb,61949,false,oscar,2003,2004,76,ANIMATED FEATURE FILM,robert walker,"[""brother"",""bear""]",false,10009
5f8ed8bfdc50381ff7678e35,594,false,oscar,1986,1987,59,CINEMATOGRAPHY,jordan cronenweth,"[""peggy"",""sue"",""got"",""married""]",false,10013
5f8ed8bfdc50381ff7678e3d,3391,false,oscar,1986,1987,59,ACTRESS IN A LEADING ROLE,kathleen turner,"[""peggy"",""sue"",""got"",""married""]",false,10013
5f8ed8c0dc50381ff7678f92,15813,false,oscar,1991,1992,64,MUSIC (Original Song),alan menken,"[""beauty"",""and"",""the"",""beast""]",false,10020
5f8ed8c0dc50381ff7678f9f,62049,false,oscar,1991,1992,64,MUSIC (Original Song),howard ashman,"[""beauty"",""and"",""the"",""beast""]",false,10020
5f8ed8c0dc50381ff7678fbd,74975,false,oscar,1991,1992,64,SOUND,david j. hudson,"[""beauty"",""and"",""the"",""beast""]",false,10020
5f8ed8c0dc50381ff7678ff1,74976,false,oscar,1991,1992,64,SOUND,mel metcalfe,"[""beauty"",""and"",""the"",""beast""]",false,10020
5f8ed8c0dc50381ff7678ff8,74978,false,oscar,1991,1992,64,SOUND,terry porter,"[""beauty"",""and"",""the"",""beast""]",false,10020
5f8ed8c1dc50381ff767a3d0,1938,false,oscar,1964,1965,37,MUSIC (Song),henry mancini,"[""dear"",""heart""]",false,101226
5f8ed8c1dc50381ff767a56d,32795,false,oscar,1988,1989,61,WRITING (Screenplay Based on Material from Another Medium),anna hamilton phelan,"[""gorillas"",""in"",""the"",""mist""]",false,10130
5f8ed8c1dc50381ff767a570,2523,false,oscar,1988,1989,61,FILM EDITING,stuart baird,"[""gorillas"",""in"",""the"",""mist""]",false,10130
5f8ed8c1dc50381ff767a57e,1713005,false,oscar,1988,1989,61,SOUND,peter handford,"[""gorillas"",""in"",""the"",""mist""]",false,10130
5f8ed8c1dc50381ff767a582,2704,false,oscar,1988,1989,61,MUSIC (Original Score),maurice jarre,"[""gorillas"",""in"",""the"",""mist""]",false,10130
5f8ed8c1dc50381ff767a58a,10205,false,oscar,1988,1989,61,ACTRESS IN A LEADING ROLE,sigourney weaver,"[""gorillas"",""in"",""the"",""mist""]",false,10130
5f8ed8c1dc50381ff767a7f2,123997,false,oscar,2008,2009,81,WRITING (Original Screenplay),dustin lance black,"[""milk""]",true,10139
5f8ed8c1dc50381ff767a7f4,16851,false,oscar,2008,2009,81,ACTOR IN A SUPPORTING ROLE,josh brolin,"[""milk""]",false,10139
5f8ed8c1dc50381ff767a7f5,8215,false,oscar,2008,2009,81,BEST PICTURE,bruce cohen,"[""milk""]",false,10139
5f8ed8c1dc50381ff767a7fd,11017,false,oscar,2008,2009,81,FILM EDITING,elliot graham,"[""milk""]",false,10139
5f8ed8c1dc50381ff767a803,5216,false,oscar,2008,2009,81,DIRECTING,gus van sant,"[""milk""]",false,10139
5f8ed8c1dc50381ff767a805,2228,false,oscar,2008,2009,81,ACTOR IN A LEADING ROLE,sean penn,"[""milk""]",true,10139
5f8ed8c1dc50381ff767a8ad,15813,false,oscar,1989,1990,62,MUSIC (Original Song),alan menken,"[""the"",""little"",""mermaid""]",true,10144
5f8ed8c1dc50381ff767a8b1,62049,false,oscar,1989,1990,62,MUSIC (Original Song),howard ashman,"[""the"",""little"",""mermaid""]",true,10144
5f8ed8c1dc50381ff767acb6,4343,false,oscar,1950,1951,23,ACTOR,louis calhern,"[""the"",""magnificent"",""yankee""]",false,101653
5f8ed8c1dc50381ff767ae92,64118,false,oscar,1954,1955,27,FILM EDITING,william a. lyon,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767ae99,34428,false,oscar,1954,1955,27,FILM EDITING,henry batista,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767ae9e,4110,false,oscar,1954,1955,27,ACTOR,humphrey bogart,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767aecd,4081,false,oscar,1954,1955,27,BEST MOTION PICTURE,stanley kramer,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767aecf,3249,false,oscar,1954,1955,27,MUSIC (Music Score of a Dramatic or Comedy Picture),max steiner,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767aed5,64116,false,oscar,1954,1955,27,WRITING (Screenplay),stanley roberts,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767aed8,19414,false,oscar,1954,1955,27,ACTOR IN A SUPPORTING ROLE,tom tully,"[""the"",""caine"",""mutiny""]",false,10178
5f8ed8c1dc50381ff767af4f,5602,false,oscar,2001,2002,74,DIRECTING,david lynch,"[""mulholland"",""drive""]",false,1018
5f8ed8c2dc50381ff767b1b7,66193,false,oscar,2010,2011,83,ANIMATED FEATURE FILM,chris sanders,"[""how"",""to"",""train"",""your"",""dragon""]",false,10191
5f8ed8c2dc50381ff767b1c3,69797,false,oscar,2010,2011,83,ANIMATED FEATURE FILM,dean deblois,"[""how"",""to"",""train"",""your"",""dragon""]",false,10191
5f8ed8c2dc50381ff767b1ce,11098,false,oscar,2010,2011,83,MUSIC (Original Score),john powell,"[""how"",""to"",""train"",""your"",""dragon""]",false,10191
5f8ed8c2dc50381ff767b249,7878,false,oscar,2010,2011,83,BEST PICTURE,darla k. anderson,"[""toy"",""story"",""3""]",false,10193
5f8ed8c2dc50381ff767b24e,7,false,oscar,2010,2011,83,WRITING (Adapted Screenplay),andrew stanton,"[""toy"",""story"",""3""]",false,10193
5f8ed8c2dc50381ff767b252,16961,false,oscar,2010,2011,83,WRITING (Adapted Screenplay),michael arndt,"[""toy"",""story"",""3""]",false,10193
5f8ed8c2dc50381ff767b27e,7879,false,oscar,2010,2011,83,WRITING (Adapted Screenplay),john lasseter,"[""toy"",""story"",""3""]",false,10193
5f8ed8c2dc50381ff767b289,8,false,oscar,2010,2011,83,ANIMATED FEATURE FILM,lee unkrich,"[""toy"",""story"",""3""]",true,10193
5f8ed8c2dc50381ff767b28f,15894,false,oscar,2010,2011,83,SOUND EDITING,tom myers,"[""toy"",""story"",""3""]",false,10193
5f8ed8c2dc50381ff767b290,7885,false,oscar,2010,2011,83,MUSIC (Original Song),randy newman,"[""toy"",""story"",""3""]",true,10193
5f8ed8c2dc50381ff767b309,557,false,oscar,2009,2010,82,COSTUME DESIGN,colleen atwood,"[""nine""]",false,10197
5f8ed8c2dc50381ff767b30e,955,false,oscar,2009,2010,82,ACTRESS IN A SUPPORTING ROLE,penélope cruz,"[""nine""]",false,10197
5f8ed8c2dc50381ff767b347,15810,false,oscar,2009,2010,82,ANIMATED FEATURE FILM,ron clements,"[""the"",""princess"",""and"",""the"",""frog""]",false,10198
5f8ed8c2dc50381ff767b376,15811,false,oscar,2009,2010,82,ANIMATED FEATURE FILM,john musker,"[""the"",""princess"",""and"",""the"",""frog""]",false,10198
5f8ed8c2dc50381ff767b388,7885,false,oscar,2009,2010,82,MUSIC (Original Song),randy newman,"[""the"",""princess"",""and"",""the"",""frog""]",false,10198
